"FSC.A","sample_type","diameter","replicate"
39570.4297,"beads",10,"FC-PT79"
39065.6172,"beads",10,"FC-PT79"
39914.7773,"beads",10,"FC-PT79"
38069.4883,"beads",10,"FC-PT79"
40653.8906,"beads",10,"FC-PT79"
37740.7578,"beads",10,"FC-PT79"
40462.1875,"beads",10,"FC-PT79"
40277.5898,"beads",10,"FC-PT79"
43192.1406,"beads",10,"FC-PT79"
40717.0781,"beads",10,"FC-PT79"
39383.6992,"beads",10,"FC-PT79"
39598.1172,"beads",10,"FC-PT79"
41091.25,"beads",10,"FC-PT79"
40107.1875,"beads",10,"FC-PT79"
37615.8008,"beads",10,"FC-PT79"
39375.8906,"beads",10,"FC-PT79"
41095.5078,"beads",10,"FC-PT79"
39751.4805,"beads",10,"FC-PT79"
37904.0586,"beads",10,"FC-PT79"
39413.5195,"beads",10,"FC-PT79"
37732.9492,"beads",10,"FC-PT79"
40526.0898,"beads",10,"FC-PT79"
41527.1875,"beads",10,"FC-PT79"
39652.7891,"beads",10,"FC-PT79"
39832.418,"beads",10,"FC-PT79"
38902.3203,"beads",10,"FC-PT79"
38612.6406,"beads",10,"FC-PT79"
38643.168,"beads",10,"FC-PT79"
39221.8203,"beads",10,"FC-PT79"
41485.2969,"beads",10,"FC-PT79"
41322,"beads",10,"FC-PT79"
38393.25,"beads",10,"FC-PT79"
38890.25,"beads",10,"FC-PT79"
38932.8477,"beads",10,"FC-PT79"
40672.3477,"beads",10,"FC-PT79"
38088.6602,"beads",10,"FC-PT79"
41280.1094,"beads",10,"FC-PT79"
39861.5273,"beads",10,"FC-PT79"
40616.9688,"beads",10,"FC-PT79"
38699.9688,"beads",10,"FC-PT79"
40707.8477,"beads",10,"FC-PT79"
41799.1172,"beads",10,"FC-PT79"
39694.6797,"beads",10,"FC-PT79"
40738.3789,"beads",10,"FC-PT79"
41732.3789,"beads",10,"FC-PT79"
39946.7305,"beads",10,"FC-PT79"
38881.7305,"beads",10,"FC-PT79"
38930.7188,"beads",10,"FC-PT79"
38259.0586,"beads",10,"FC-PT79"
39689,"beads",10,"FC-PT79"
41334.0703,"beads",10,"FC-PT79"
41353.9492,"beads",10,"FC-PT79"
39801.8906,"beads",10,"FC-PT79"
39706.0391,"beads",10,"FC-PT79"
38930.7188,"beads",10,"FC-PT79"
39086.918,"beads",10,"FC-PT79"
39312.6992,"beads",10,"FC-PT79"
38440.1094,"beads",10,"FC-PT79"
40552.3594,"beads",10,"FC-PT79"
40951.3789,"beads",10,"FC-PT79"
39530.668,"beads",10,"FC-PT79"
41509.4375,"beads",10,"FC-PT79"
38974.0273,"beads",10,"FC-PT79"
40045.418,"beads",10,"FC-PT79"
38942.0781,"beads",10,"FC-PT79"
40034.0586,"beads",10,"FC-PT79"
40445.8594,"beads",10,"FC-PT79"
41106.1602,"beads",10,"FC-PT79"
