"cell_type","replicate","stim_type","stim_level","stim_unit","FSC.A","diameter","volume","phospho_STAT","total_STAT","receptor","whole_cell_phospho_STAT","whole_cell_total_STAT","whole_cell_receptor"
"BJ","FC-PT79","OSM",10,"ng/mL",90913.3671875,16.3556198804837,546.9039,35.4208179633314,5.29900607538542,5.58197840829678,3.66222395353339,0.563719793981768,0.583656919678728
"BJ","FC-PT79","OSM",0,"ng/mL",91569.40625,16.485941650486,560.0816,9.16445963495461,6.70467122150222,5.14126175647457,0.970361284088396,0.730443515775927,0.550528094905915
"BJ","FC-PT79","OSM",10,"ng/mL",91809.390625,16.5336144040012,564.9544,35.8619545653987,6.36003117902673,5.59084191204589,3.83021051233949,0.698924857904091,0.603877813289372
"BJ","FC-PT79","OSM",10,"ng/mL",91849.1484375,16.5415122698336,565.7644,22.3187955387784,6.61415110705326,4.66211626433116,2.38716073688842,0.727893055324379,0.504286314758996
"BJ","FC-PT79","OSM",10,"ng/mL",91944.2890625,16.5604118984652,567.7059,5.08090440901622,0.756837978911929,1.09411470055312,0.545305307253628,0.0835764984365987,0.11875303755628
"BJ","FC-PT79","OSM",0,"ng/mL",91994.6953125,16.5704250700806,568.7363,2.74527889292305,2.48652407654982,3.03125740880644,0.295170337471056,0.27508155064427,0.329603816568374
"BJ","FC-PT79","OSM",10,"ng/mL",92023.8046875,16.57620763013,569.3319,57.9294574418371,7.71777785783346,7.67223907037417,6.23505475579215,0.854703808294771,0.835114667759003
"BJ","FC-PT79","OSM",10,"ng/mL",92681.265625,16.7068118547563,582.8956,51.0198006541423,10.4140320544934,4.93511545723855,5.62218104955367,1.180776045204,0.549979574474193
"BJ","FC-PT79","OSM",10,"ng/mL",92848.1171875,16.7399568185177,586.3717,37.2209097505746,7.47669863583962,4.48200486071726,4.12605752218306,0.852787300660176,0.502462657715078
"BJ","FC-PT79","OSM",10,"ng/mL",93089.515625,16.7879104747084,591.4254,15.3797509752913,4.03481798228545,3.22443015009526,1.71958864370936,0.464175022061811,0.364595590420427
"BJ","FC-PT79","OSM",10,"ng/mL",93107.265625,16.7914365016628,591.7981,25.4099696345762,4.54321582980332,1.44661723309311,2.84284384607353,0.522991682597263,0.163676250274524
"BJ","FC-PT79","OSM",10,"ng/mL",93132.1171875,16.7963732497887,592.3202,18.0026435115277,4.13839131827524,2.17967767564947,2.01589597581363,0.476810647327239,0.246835310012199
"BJ","FC-PT79","OSM",10,"ng/mL",93365,16.8426352821324,597.228,29.4237893863018,3.90508880498277,2.7097276837259,3.32211036685442,0.453658363662699,0.309402825293347
"BJ","FC-PT79","OSM",10,"ng/mL",93387.0078125,16.8470071210104,597.6932,27.8955961286438,7.61732024243975,3.15515880033432,3.15202210195192,0.885601566147989,0.360543776438632
"BJ","FC-PT79","OSM",0,"ng/mL",93470.7890625,16.8636502165471,599.4663,6.46930227256821,5.95625642010479,1.85377416880714,0.733157884997505,0.694537990803411,0.212461413216001
