"cell_type","replicate","stim_type","stim_level","stim_unit","time","ratio_dye_A","ratio_dye_B","merged_nuclei","nuclearity","A","B"
"MEF","replicate_1","IFNG",0,"ng/ml",15,1.1448,1.4148,"yes","bi-nuclear",1.4078,1.25
"MEF","replicate_1","IFNG",0,"ng/ml",15,1.2386,1.6891,"yes","bi-nuclear",1.5376,1.1493
"MEF","replicate_1","IFNG",0,"ng/ml",15,0.9747,0.603,"yes","bi-nuclear",5.7524,18.5829
"MEF","replicate_1","IFNG",0,"ng/ml",15,0.9253,0.7335,"yes","bi-nuclear",0.5565,0.4597
"MEF","replicate_1","IFNG",0,"ng/ml",15,0.5063,0.2782,"yes","bi-nuclear",0.6528,0.9376
"MEF","replicate_1","IFNG",0,"ng/ml",15,0.9786,0.9758,"yes","bi-nuclear",0.8824,0.972
"MEF","replicate_1","IFNG",0,"ng/ml",15,1.1886,1.1441,"yes","bi-nuclear",1.4426,1.4361
"MEF","replicate_1","IFNG",0,"ng/ml",15,1.0044,1.4527,"yes","bi-nuclear",0.7533,0.758
"MEF","replicate_1","IFNG",0,"ng/ml",15,1.1926,1.5176,"yes","bi-nuclear",0.5994,0.5153
"MEF","replicate_1","IFNG",0,"ng/ml",15,0.7686,0.6462,"yes","bi-nuclear",0.8235,0.836
"MEF","replicate_1","IFNG",0,"ng/ml",15,0.9072,1.0601,"yes","bi-nuclear",0.8808,0.7323
"MEF","replicate_1","IFNG",0,"ng/ml",15,1.2902,1.0969,"yes","bi-nuclear",0.7804,0.5473
"MEF","replicate_1","IFNG",0,"ng/ml",15,0.6651,0.8337,"yes","bi-nuclear",0.3659,0.4401
"MEF","replicate_1","IFNG",0,"ng/ml",15,0.5845,0.6866,"yes","bi-nuclear",0.2288,0.3025
"MEF","replicate_1","IFNG",0.1,"ng/ml",15,1.0795,0.9644,"yes","bi-nuclear",1.635,1.5234
"MEF","replicate_1","IFNG",0.1,"ng/ml",15,0.9453,0.9988,"yes","bi-nuclear",7.5941,6.2817
"MEF","replicate_1","IFNG",1,"ng/ml",15,0.707,0.7645,"yes","bi-nuclear",8.5085,8.3086
"MEF","replicate_1","IFNG",1,"ng/ml",15,0.9386,0.8851,"yes","bi-nuclear",10.8534,8.1273
"MEF","replicate_1","IFNG",1,"ng/ml",15,1.0409,0.904,"yes","bi-nuclear",6.1434,6.4382
"MEF","replicate_1","IFNG",1,"ng/ml",15,0.8529,0.8075,"yes","bi-nuclear",9.3204,9.2261
"MEF","replicate_1","IFNG",10,"ng/ml",15,1.231,1.0709,"yes","bi-nuclear",19.3747,17.6138
"MEF","replicate_1","IFNG",10,"ng/ml",15,0.8054,1.1864,"yes","bi-nuclear",23.7158,19.4221
"MEF","replicate_1","IFNG",10,"ng/ml",15,1.5172,1.1232,"yes","bi-nuclear",25.1827,31.8504
"MEF","replicate_1","IFNG",10,"ng/ml",15,0.6656,0.653,"yes","bi-nuclear",4.752,7.9616
"MEF","replicate_1","IFNG",0.1,"ng/ml",15,0.5266,0.4135,"yes","bi-nuclear",2.6816,9.2354
"MEF","replicate_1","IFNG",0.1,"ng/ml",15,0.983,1.1864,"yes","bi-nuclear",3.7992,3.6677
"MEF","replicate_1","IFNG",0.1,"ng/ml",15,1.1246,1.0184,"yes","bi-nuclear",4.8042,4.5632
"MEF","replicate_1","IFNG",1,"ng/ml",15,0.9139,0.6826,"yes","bi-nuclear",15.7308,15.7
"MEF","replicate_1","IFNG",1,"ng/ml",15,0.6791,0.9169,"yes","bi-nuclear",8.5229,10.0584
"MEF","replicate_1","IFNG",10,"ng/ml",15,1.288,1.5412,"yes","bi-nuclear",16.9088,13.8941
"MEF","replicate_1","IFNG",10,"ng/ml",5,0.9452,1.0481,"yes","bi-nuclear",5.1246,5.5209
"MEF","replicate_1","IFNG",10,"ng/ml",5,1.2645,0.8558,"yes","bi-nuclear",6.1767,5.5139
"MEF","replicate_1","IFNG",10,"ng/ml",5,1.2233,1.2839,"yes","bi-nuclear",2.7723,2.097
"MEF","replicate_1","IFNG",10,"ng/ml",5,0.7469,0.4337,"yes","bi-nuclear",3.2736,3.3991
"MEF","replicate_1","IFNG",10,"ng/ml",5,0.6972,0.6591,"yes","bi-nuclear",2.6413,3.7745
"MEF","replicate_1","IFNG",0,"ng/ml",15,0.3829,1.274,"no","bi-nuclear",1.7885,1.2181
"MEF","replicate_1","IFNG",0,"ng/ml",15,3.1718,1.0435,"no","bi-nuclear",3.3898,1.3811
"MEF","replicate_1","IFNG",0,"ng/ml",15,1.6473,0.987,"no","bi-nuclear",1.7938,1.2114
"MEF","replicate_1","IFNG",0,"ng/ml",15,2.3348,0.6803,"no","bi-nuclear",0.9876,0.6729
"MEF","replicate_1","IFNG",0,"ng/ml",15,0.8945,1.6284,"no","bi-nuclear",1.1692,1.1195
"MEF","replicate_1","IFNG",0,"ng/ml",15,2.1309,0.2821,"no","bi-nuclear",1.1921,0.9376
"MEF","replicate_1","IFNG",0,"ng/ml",15,2.6366,0.5893,"no","bi-nuclear",1.2031,1.0518
"MEF","replicate_1","IFNG",0,"ng/ml",15,0.5518,2.5294,"no","bi-nuclear",1.0939,1.0738
"MEF","replicate_1","IFNG",0,"ng/ml",15,0.4568,1.1075,"no","bi-nuclear",1.4364,1.177
"MEF","replicate_1","IFNG",0,"ng/ml",15,2.1822,0.1573,"no","bi-nuclear",0.3266,0.3592
"MEF","replicate_1","IFNG",0,"ng/ml",15,2.5455,0.5922,"no","bi-nuclear",0.6313,0.7959
"MEF","replicate_1","IFNG",0,"ng/ml",15,0.4104,2.4366,"no","bi-nuclear",0.8643,0.7343
"MEF","replicate_1","IFNG",0,"ng/ml",15,2.5272,0.3049,"no","bi-nuclear",1.1017,1.8784
"MEF","replicate_1","IFNG",0,"ng/ml",15,1.6337,0.4672,"no","bi-nuclear",1.8687,2.4212
"MEF","replicate_1","IFNG",0,"ng/ml",15,0.4108,1.5802,"no","bi-nuclear",1.062,0.7982
"MEF","replicate_1","IFNG",0,"ng/ml",15,3.1954,0.4898,"no","bi-nuclear",0.5316,0.5403
"MEF","replicate_1","IFNG",0,"ng/ml",15,0.3074,2.3187,"no","bi-nuclear",0.4497,0.4668
"MEF","replicate_1","IFNG",0,"ng/ml",15,2.622,0.5795,"no","bi-nuclear",1.9782,0.7854
"MEF","replicate_1","IFNG",0,"ng/ml",15,2.5595,0.3484,"no","bi-nuclear",0.9203,0.8217
"MEF","replicate_1","IFNG",0,"ng/ml",15,3.2885,0.39,"no","bi-nuclear",1.07,0.5586
"MEF","replicate_1","IFNG",0,"ng/ml",15,3.155,0.6279,"no","bi-nuclear",1.4049,0.9351
"MEF","replicate_1","IFNG",0,"ng/ml",15,3.7787,0.4313,"no","bi-nuclear",0.7026,0.5451
"MEF","replicate_1","IFNG",0,"ng/ml",15,0.4858,3.1118,"no","bi-nuclear",0.8422,0.5646
"MEF","replicate_1","IFNG",0,"ng/ml",15,0.3581,2.0621,"no","bi-nuclear",0.596,0.7026
"MEF","replicate_1","IFNG",0,"ng/ml",15,0.552,7.1068,"no","bi-nuclear",1.0258,0.7124
"MEF","replicate_1","IFNG",0,"ng/ml",15,0.3588,1.4185,"no","bi-nuclear",1.3207,1.0692
"MEF","replicate_1","IFNG",0,"ng/ml",15,1.8373,0.0767,"no","bi-nuclear",0.4002,0.524
"MEF","replicate_1","IFNG",0,"ng/ml",15,2.3881,0.2368,"no","bi-nuclear",0.5322,0.6611
"MEF","replicate_1","IFNG",0,"ng/ml",15,2.0405,0.3323,"no","bi-nuclear",0.7297,0.5535
"MEF","replicate_1","IFNG",0,"ng/ml",15,3.3962,0.5463,"no","bi-nuclear",0.8417,0.4744
"MEF","replicate_1","IFNG",0.1,"ng/ml",15,0.2821,2.2758,"no","bi-nuclear",1.098,1.6699
"MEF","replicate_1","IFNG",0.1,"ng/ml",15,2.2535,0.4867,"no","bi-nuclear",2.6862,2.0411
"MEF","replicate_1","IFNG",0.1,"ng/ml",15,0.4276,1.666,"no","bi-nuclear",5.5352,6.8816
"MEF","replicate_1","IFNG",0.1,"ng/ml",15,2.7987,0.4277,"no","bi-nuclear",1.5889,1.676
"MEF","replicate_1","IFNG",0.1,"ng/ml",15,0.4117,2.5704,"no","bi-nuclear",1.7028,0.8367
"MEF","replicate_1","IFNG",0.1,"ng/ml",15,0.2938,2.4238,"no","bi-nuclear",2.7561,3.4089
"MEF","replicate_1","IFNG",0.1,"ng/ml",15,3.0323,0.4605,"no","bi-nuclear",2.2094,1.7117
"MEF","replicate_1","IFNG",0.1,"ng/ml",15,3.4199,0.4001,"no","bi-nuclear",2.6536,1.6117
"MEF","replicate_1","IFNG",0.1,"ng/ml",15,2.8038,0.2754,"no","bi-nuclear",1.9975,2.6012
"MEF","replicate_1","IFNG",0.1,"ng/ml",15,0.3585,1.7365,"no","bi-nuclear",0.6551,0.6714
"MEF","replicate_1","IFNG",0.1,"ng/ml",15,2.1126,0.222,"no","bi-nuclear",3.1057,4.4174
"MEF","replicate_1","IFNG",0.1,"ng/ml",15,0.4869,2.4997,"no","bi-nuclear",2.9311,2.0296
