"cell_type","replicate","stim_type","stim_level","stim_unit","time","merged_nuclei","nuclearity","response"
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.9094
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.6832
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.6489
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.6753
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5619
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.3712
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5474
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.3237
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.8156
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.8793
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.4537
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.266
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.2274
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.9574
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.6055
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.4522
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.7979
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.1072
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.8076
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",6.7074
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.5521
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.6198
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",3.5918
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5913
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.9636
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.183
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5597
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.3668
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.7329
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.7203
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.1264
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.4185
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.4561
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.7905
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.3698
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.1825
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.4914
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.2509
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.2724
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.2939
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.6059
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.079
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.4523
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.7542
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.6607
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.86
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5595
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.9174
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.6203
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5605
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.1856
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.514
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.8036
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.4801
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.6205
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.4002
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.9565
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.6989
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.6156
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.8939
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5465
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.8711
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.391
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.6169
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.3303
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.8796
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.8726
